Date,Winner,Loser,WCharacter,LCharacter
5/24,Hitaka,Savory Buns,Rice,Garlic
5/24,Hitaka,Savory Buns,Rice,Onion
5/24,Hitaka,Savory Buns,Rice,Onion
5/24,Savory Buns,TrunksESP,Garlic,Garlic
5/24,Savory Buns,TrunksESP,Garlic,Garlic
5/24,TrunksESP,Savory Buns,Garlic,Garlic
5/24,Savory Buns,TrunksESP,Garlic,Pork
5/24,Savory Buns,DoomMerky,Garlic,Beef
5/24,Savory Buns,DoomMerky,Garlic,Pork
5/24,Savory Buns,DoomMerky,Garlic,Pork
5/24,DoomMerky,shygyBeets,Pork,Pork
5/24,DoomMerky,shygyBeets,Pork,Pork
5/24,DoomMerky,shygyBeets,Pork,Pork
5/24,Hitaka,TrunksESP,Rice,Beef
5/24,Hitaka,TrunksESP,Rice,Beef
5/24,Hitaka,TrunksESP,Rice,Beef
5/24,Savory Buns,KevinKryptonite,Garlic,Pork
5/24,Savory Buns,KevinKryptonite,Garlic,Pork
5/24,Savory Buns,KevinKryptonite,Garlic,Pork
5/24,KevinKryptonite,Savory Buns,Pork,Garlic
5/24,TrunksESP,JoRo,Beef,Pork
5/24,JoRo,TrunksESP,Pork,Beef
5/24,TrunksESP,JoRo,Beef,Pork
5/24,Hitaka,Savory Buns,Rice,Garlic
5/24,Hitaka,Savory Buns,Rice,Garlic
5/24,Savory Buns,Hitaka,Garlic,Onion
5/24,Hitaka,Savory Buns,Onion,Garlic
5/24,Savory Buns,Hitaka,Garlic,Onion
5/24,TrunksESP,JoRo,Beef,Pork
5/24,Hitaka,Friggis,Onion,Onion
5/24,Friggis,Hitaka,Onion,Onion
5/24,Hitaka,Friggis,Onion,Onion
5/24,Savory Buns,DoomMerky,Garlic,Pork
5/24,Savory Buns,DoomMerky,Garlic,Pork
5/24,Friggis,SquidSlash,Onion,Beef
5/24,Friggis,SquidSlash,Onion,Beef
5/24,SquidSlash,Friggis,Beef,Onion
5/17,JoRo,Hitaka,Onion,Onion
5/17,Hitaka,JoRo,Onion,Onion
5/17,JoRo,Hitaka,Onion,Onion
5/17,JoRo,Hitaka,Onion,Onion
5/17,Hitaka,TrunksESP,Onion,Beef
5/17,TrunksESP,Hitaka,Beef,Onion
5/17,Hitaka,TrunksESP,Onion,Onion
5/17,Hitaka,TrunksESP,Onion,Beef
5/17,JoRo,Hitaka,Onion,Onion
5/17,Hitaka,JoRo,Onion,Onion
5/17,JoRo,Hitaka,Onion,Onion
5/17,JoRo,Hitaka,Onion,Onion
5/17,TrunksESP,Aominedaikiv,Beef,Onion
5/17,TrunksESP,Aominedaikiv,Beef,Onion
5/17,TrunksESP,Aominedaikiv,Beef,Onion
5/17,Aominedaikiv,Friggis,Onion,Onion
5/17,Aominedaikiv,Friggis,Onion,Onion
5/17,Friggis,Aominedaikiv,Onion,Onion
5/17,Friggis,Aominedaikiv,Onion,Onion
5/17,Aominedaikiv,Friggis,Onion,Onion
5/17,TrunksESP,Humongous Giraffe,Garlic,Beef
5/17,TrunksESP,Humongous Giraffe,Garlic,Beef
5/17,Humongous Giraffe,TrunksESP,Beef,Beef
5/17,TrunksESP,Humongous Giraffe,Beef,Beef
5/17,JoRo,Friggis,Onion,Onion
5/17,JoRo,Friggis,Onion,Onion
5/17,JoRo,Friggis,Onion,Onion
