date,tournament,round,player_1,player_2,score
2021-01-16T02:30:42.059+03:00,ToughLoveGauntlet002,1,Meatloafidklol (Dangerous Bean #somethingidk),TheBiggestCheese,3-0
2021-01-16T02:30:42.064+03:00,ToughLoveGauntlet002,1,Wiltonlaws,Kero (Cute Carrot #6075),2-3
2021-01-16T02:30:42.069+03:00,ToughLoveGauntlet002,1,Astrian,Mikey_Mike_,3-0
2021-01-16T02:30:42.074+03:00,ToughLoveGauntlet002,1,Kitten05,hot salmon#9857,3-0
2021-01-16T02:30:42.079+03:00,ToughLoveGauntlet002,2,Meatloafidklol (Dangerous Bean #somethingidk),Kero (Cute Carrot #6075),3-0
2021-01-16T02:30:42.083+03:00,ToughLoveGauntlet002,2,Astrian,Kitten05,3-0
2021-01-16T02:30:42.087+03:00,ToughLoveGauntlet002,3,Meatloafidklol (Dangerous Bean #somethingidk),Astrian,3-2
2021-01-16T02:30:42.091+03:00,ToughLoveGauntlet002,-1,TheBiggestCheese,Wiltonlaws,1-3
2021-01-16T02:30:42.095+03:00,ToughLoveGauntlet002,-1,Mikey_Mike_,hot salmon#9857,1-3
2021-01-16T02:30:42.099+03:00,ToughLoveGauntlet002,-2,Kitten05,Wiltonlaws,2-3
2021-01-16T02:30:42.103+03:00,ToughLoveGauntlet002,-2,Kero (Cute Carrot #6075),hot salmon#9857,3-1
2021-01-16T02:30:42.107+03:00,ToughLoveGauntlet002,-3,Wiltonlaws,Kero (Cute Carrot #6075),3-0
2021-01-16T02:30:42.111+03:00,ToughLoveGauntlet002,-4,Astrian,Wiltonlaws,3-1
2021-01-16T02:30:42.115+03:00,ToughLoveGauntlet002,4,Meatloafidklol (Dangerous Bean #somethingidk),Astrian,3-2
2021-02-12T19:36:29.771-04:00,ToughLoveGauntlet006,1,Wiltonlaws,SWAG | Waddle,2-0
2021-02-12T19:36:29.776-04:00,ToughLoveGauntlet006,1,ProfDeka (Bitter Pancake #7981),Handsome_Phil,1-2
2021-02-12T19:36:29.781-04:00,ToughLoveGauntlet006,2,Handsome_Phil,Wiltonlaws,2-1
2021-02-12T19:36:29.785-04:00,ToughLoveGauntlet006,2,SWAG | Waddle,ProfDeka (Bitter Pancake #7981),2-1
2021-02-12T19:36:29.789-04:00,ToughLoveGauntlet006,3,ProfDeka (Bitter Pancake #7981),Wiltonlaws,2-0
2021-02-12T19:36:29.792-04:00,ToughLoveGauntlet006,3,SWAG | Waddle,Handsome_Phil,0-2
2021-02-12T19:36:29.796-04:00,ToughLoveGauntlet006,4,SWAG | Waddle,Wiltonlaws,0-2
2021-02-12T19:36:29.800-04:00,ToughLoveGauntlet006,4,Handsome_Phil,ProfDeka (Bitter Pancake #7981),2-0
