date,patch
2024/05/14,0.109.2
2024/04/16,0.109.1
2024/04/08,0.109.0
2024/04/04,0.108.4
2024/04/03,0.108.3
2024/04/02,0.108.2
2024/04/02,0.108.1
2024/04/01,0.108.0
2024/03/31,0.107.5
2024/03/30,0.107.4
2024/03/26,0.107.3
2024/03/26,0.107.2
2024/03/24,0.107.1
2024/03/24,0.107.0
2024/03/13,0.106.5
2024/02/20,0.106.4
2024/01/16,0.106.3
2023/12/19,0.106.2
2023/11/23,0.106.1
2023/11/23,0.106.0
2023/10/10,0.105.2
2023/10/09,0.105.1
2023/10/01,0.105.0
2023/08/08,0.104.3
2023/08/02,0.104.2
2023/08/01,0.104.1
2023/08/01,0.104.0
2023/07/21,0.103.13
2023/06/26,0.103.12
2023/06/10,0.103.11
2023/05/29,0.103.10
2023/05/28,0.103.9
2023/05/28,0.103.8
2023/05/28,0.103.7
2023/05/28,0.103.6
2023/05/28,0.103.5
2023/05/21,0.103.4
2023/05/15,0.103.3
2023/05/11,0.103.2
2023/04/24,0.103.1
2023/04/08,0.103.0
2023/04/07,0.102.3
2023/04/03,0.102.2
2023/04/03,0.102.1
2023/04/01,0.102.0
2023/03/31,0.101.6
2023/03/29,0.101.5
2023/02/20,0.101.4
2023/01/24,0.101.3
2023/01/16,0.101.2
2023/01/16,0.101.1
2023/01/01,0.101.0
2022/12/30,0.100.1
2022/12/18,0.100.0
2022/12/11,0.99.3
2022/11/28,0.99.2
2022/11/21,0.99.1
2022/11/21,0.99.0
2022/11/07,0.98.5
2022/11/07,0.98.4
2022/11/06,0.98.3
2022/11/06,0.98.2
2022/11/01,0.98.1
2022/10/31,0.98.0
2022/10/30,0.97.5
2022/10/30,0.97.4
2022/10/24,0.97.3
2022/10/12,0.97.2
2022/10/05,0.97.1
2022/10/03,0.97.0
2022/10/02,0.96.4
2022/10/02,0.96.3
2022/09/23,0.96.2
2022/09/22,0.96.1
2022/09/21,0.96.0
2022/09/02,0.95.10
2022/09/01,0.95.9
2022/08/28,0.95.8
2022/08/27,0.95.7
2022/08/20,0.95.6
2022/08/20,0.95.5
2022/08/17,0.95.4
2022/08/10,0.95.3
2022/08/04,0.95.2
2022/08/02,0.95.1
2022/07/21,0.95.0
2022/07/19,0.94.5
2022/07/17,0.94.4
2022/07/16,0.94.3
2022/07/16,0.94.2
2022/07/16,0.94.1
2022/07/16,0.94.0
2022/06/28,0.93.4
2022/06/28,0.93.3
2022/06/28,0.93.2
2022/06/27,0.93.1
2022/06/19,0.93.0
2022/06/19,0.92.2
2022/06/09,0.92.1
2022/06/07,0.92.0
2022/06/01,0.91.19
2022/05/28,0.91.18
2022/05/24,0.91.17
2022/05/24,0.91.16
2022/05/21,0.91.15
2022/05/15,0.91.14
2022/05/13,0.91.13
2022/05/13,0.91.12
2022/05/12,0.91.11
2022/05/12,0.91.10
2022/05/11,0.91.9
2022/05/10,0.91.8
2022/05/10,0.91.7
2022/05/06,0.91.6
2022/05/06,0.91.5
2022/05/06,0.91.4
2022/05/04,0.91.3
2022/05/01,0.91.2
2022/04/29,0.91.1
2022/04/29,0.91.0
2022/04/29,0.90.17
2022/04/28,0.90.16
2022/04/27,0.90.15
2022/04/22,0.90.14
2022/04/22,0.90.13
2022/04/21,0.90.12
2022/04/19,0.90.11
2022/04/18,0.90.10
2022/04/18,0.90.9
2022/04/18,0.90.8
2022/04/17,0.90.7
2022/04/17,0.90.6
2022/04/17,0.90.5
2022/04/16,0.90.4
2022/04/16,0.90.3
2022/04/16,0.90.2
2022/04/13,0.90.1
2022/04/13,0.90.0
2022/04/12,0.89.1
2022/04/04,0.89.0
2022/04/01,0.88.3
2022/04/01,0.88.2
2022/04/01,0.88.1
2022/04/01,0.88.0
2022/03/31,0.87.4
2022/03/30,0.87.3
2022/03/30,0.87.2
2022/03/29,0.87.1
2022/03/27,0.87.0
2022/03/25,0.86.6
2022/03/24,0.86.5
2022/03/22,0.86.4
2022/03/15,0.86.3
2022/03/14,0.86.2
2022/03/10,0.86.1
2022/03/07,0.86.0
2022/03/07,0.85.16
2022/03/07,0.85.15
2022/03/06,0.85.14
2022/03/05,0.85.13
2022/03/03,0.85.12
2022/03/01,0.85.11
2022/02/27,0.85.10
2022/02/22,0.85.9
2022/02/22,0.85.8
2022/02/20,0.85.7
2022/02/18,0.85.6
